2.818282, 0.610061, 0.000000
0.000000, 0.000000, 0.000000
6.334633, 0.000000, 0.000000
9.169917, 0.000000, 0.000000
1.478148, 0.000000, 0.000000
6.962696, 0.000000, 0.000000
5.705571, 0.000000, 0.000000
3.281328, 0.000000, 0.000000
9.961996, 0.000000, 0.000000
2.995300, 0.000000, 0.000000
4.827483, 0.000000, 0.000000
2.391239, 0.000000, 0.000000
3.902390, 0.000000, 0.000000
0.292029, 0.000000, 0.000000
7.421742, 0.000000, 0.000000
9.718972, 0.000000, 0.000000
5.447545, 0.000000, 0.000000
4.771477, 0.000000, 0.000000
1.869187, 0.000000, 0.000000
5.667567, 0.000000, 0.000000
10.000000, 0.000000, 0.000000
0.000000, 3.811381, 1.000000
1.322132, 0.333033, -1.#IND00
7.673767, 4.664466, -1.#IND00
5.141514, 7.711771, -1.#IND00
8.253825, 6.868687, -0.000000
5.547555, 7.644764, -1.#IND00
2.662266, 2.757276, -1.#IND00
0.037004, 2.859286, -1.#IND00
8.723872, 9.741974, -0.000000
7.529753, 0.778078, 0.000000
2.316232, 3.035304, -1.#IND00
2.190219, 1.842184, -1.#IND00
0.288029, 0.106011, -1.#IND00
9.040904, 8.942894, -0.000000
9.264926, 2.648265, -1.#IND00
7.446745, 3.805381, -1.#IND00
5.890589, 6.729673, -1.#IND00
4.370437, 5.350535, -1.#IND00
5.006501, 1.101110, -0.000000
10.000000, 3.548355, 0.000000
0.000000, 2.623262, 1.000000
4.084408, 9.954995, -1.#IND00
8.756876, 1.840184, -1.#IND00
4.966497, 7.376738, -1.#IND00
3.931393, 6.308631, -1.#IND00
6.944694, 2.439244, -1.#IND00
4.626463, 1.323132, 0.000000
5.537554, 1.538154, 0.000000
6.118612, 2.082208, 0.000000
2.929293, 6.541654, -1.#IND00
4.833483, 1.115112, -0.000000
4.639464, 9.658966, -1.#IND00
2.704270, 9.930993, -0.000000
3.977398, 2.306231, -1.#IND00
1.673167, 2.386239, -1.#IND00
5.021502, 8.745875, -1.#IND00
6.924692, 9.072907, -0.000000
6.270627, 5.829583, -1.#IND00
6.777678, 5.573557, -1.#IND00
10.000000, 6.512651, 0.000000
0.000000, 3.290329, 1.000000
9.161916, 8.636864, -0.000000
2.355236, 4.767477, -1.#IND00
3.655366, 5.574557, -1.#IND00
4.031403, 2.052205, -1.#IND00
7.350735, 1.150115, -0.000000
6.941694, 1.724172, 0.000000
3.966397, 3.430343, -1.#IND00
1.107111, 0.191019, -1.#IND00
8.007801, 1.337134, -1.#IND00
5.457546, 2.287229, -0.000000
